ID,SUBCLASS
TEST_0000,STES
TEST_0001,STES
TEST_0002,KIPAN
TEST_0003,GBMLGG
TEST_0004,STES
TEST_0005,STES
TEST_0006,BRCA
TEST_0007,UCEC
TEST_0008,BRCA
TEST_0009,STES
TEST_0010,KIRC
TEST_0011,LAML
TEST_0012,COAD
TEST_0013,LUSC
TEST_0014,KIRC
TEST_0015,STES
TEST_0016,STES
TEST_0017,LAML
TEST_0018,KIPAN
TEST_0019,PRAD
TEST_0020,COAD
TEST_0021,COAD
TEST_0022,LGG
TEST_0023,UCEC
TEST_0024,COAD
TEST_0025,COAD
TEST_0026,OV
TEST_0027,STES
TEST_0028,COAD
TEST_0029,BRCA
TEST_0030,COAD
TEST_0031,STES
TEST_0032,COAD
TEST_0033,KIPAN
TEST_0034,KIRC
TEST_0035,COAD
TEST_0036,LGG
TEST_0037,PRAD
TEST_0038,BLCA
TEST_0039,COAD
TEST_0040,CESC
TEST_0041,GBMLGG
TEST_0042,SKCM
TEST_0043,STES
TEST_0044,BRCA
TEST_0045,BLCA
TEST_0046,KIRC
TEST_0047,LIHC
TEST_0048,KIPAN
TEST_0049,BRCA
TEST_0050,COAD
TEST_0051,KIRC
TEST_0052,COAD
TEST_0053,OV
TEST_0054,BRCA
TEST_0055,OV
TEST_0056,COAD
TEST_0057,BRCA
TEST_0058,UCEC
TEST_0059,SKCM
TEST_0060,BRCA
TEST_0061,BRCA
TEST_0062,BRCA
TEST_0063,STES
TEST_0064,PCPG
TEST_0065,COAD
TEST_0066,UCEC
TEST_0067,COAD
TEST_0068,LAML
TEST_0069,STES
TEST_0070,COAD
TEST_0071,STES
TEST_0072,UCEC
TEST_0073,KIPAN
TEST_0074,SARC
TEST_0075,LAML
TEST_0076,COAD
TEST_0077,COAD
TEST_0078,LUAD
TEST_0079,LUAD
TEST_0080,THCA
TEST_0081,STES
TEST_0082,UCEC
TEST_0083,COAD
TEST_0084,COAD
TEST_0085,COAD
TEST_0086,STES
TEST_0087,SKCM
TEST_0088,LUAD
TEST_0089,BRCA
TEST_0090,THCA
TEST_0091,KIRC
TEST_0092,STES
TEST_0093,STES
TEST_0094,PRAD
TEST_0095,KIPAN
TEST_0096,ACC
TEST_0097,STES
TEST_0098,COAD
TEST_0099,COAD
TEST_0100,LAML
TEST_0101,SARC
TEST_0102,OV
TEST_0103,GBMLGG
TEST_0104,LGG
TEST_0105,UCEC
TEST_0106,COAD
TEST_0107,PRAD
TEST_0108,STES
TEST_0109,COAD
TEST_0110,PRAD
TEST_0111,THCA
TEST_0112,UCEC
TEST_0113,PCPG
TEST_0114,COAD
TEST_0115,PRAD
TEST_0116,KIPAN
TEST_0117,LGG
TEST_0118,PCPG
TEST_0119,STES
TEST_0120,UCEC
TEST_0121,PRAD
TEST_0122,BRCA
TEST_0123,KIPAN
TEST_0124,THCA
TEST_0125,COAD
TEST_0126,PRAD
TEST_0127,GBMLGG
TEST_0128,PCPG
TEST_0129,KIRC
TEST_0130,STES
TEST_0131,LAML
TEST_0132,PAAD
TEST_0133,UCEC
TEST_0134,STES
TEST_0135,KIRC
TEST_0136,GBMLGG
TEST_0137,BRCA
TEST_0138,CESC
TEST_0139,LAML
TEST_0140,COAD
TEST_0141,GBMLGG
TEST_0142,SKCM
TEST_0143,COAD
TEST_0144,BRCA
TEST_0145,THCA
TEST_0146,KIPAN
TEST_0147,THCA
TEST_0148,GBMLGG
TEST_0149,CESC
TEST_0150,COAD
TEST_0151,THCA
TEST_0152,BRCA
TEST_0153,LGG
TEST_0154,KIRC
TEST_0155,KIRC
TEST_0156,PRAD
TEST_0157,COAD
TEST_0158,HNSC
TEST_0159,SKCM
TEST_0160,SARC
TEST_0161,COAD
TEST_0162,LUAD
TEST_0163,OV
TEST_0164,GBMLGG
TEST_0165,SKCM
TEST_0166,COAD
TEST_0167,COAD
TEST_0168,KIPAN
TEST_0169,STES
TEST_0170,LAML
TEST_0171,COAD
TEST_0172,LAML
TEST_0173,LAML
TEST_0174,KIPAN
TEST_0175,LAML
TEST_0176,BRCA
TEST_0177,PAAD
TEST_0178,ACC
TEST_0179,STES
TEST_0180,LAML
TEST_0181,STES
TEST_0182,GBMLGG
TEST_0183,LGG
TEST_0184,THCA
TEST_0185,STES
TEST_0186,STES
TEST_0187,LAML
TEST_0188,GBMLGG
TEST_0189,COAD
TEST_0190,SKCM
TEST_0191,UCEC
TEST_0192,LAML
TEST_0193,PAAD
TEST_0194,BRCA
TEST_0195,HNSC
TEST_0196,OV
TEST_0197,STES
TEST_0198,KIPAN
TEST_0199,KIPAN
TEST_0200,KIRC
TEST_0201,KIRC
TEST_0202,KIRC
TEST_0203,BRCA
TEST_0204,THCA
TEST_0205,SARC
TEST_0206,OV
TEST_0207,LUAD
TEST_0208,UCEC
TEST_0209,COAD
TEST_0210,STES
TEST_0211,BRCA
TEST_0212,GBMLGG
TEST_0213,BRCA
TEST_0214,LAML
TEST_0215,SKCM
TEST_0216,STES
TEST_0217,KIPAN
TEST_0218,GBMLGG
TEST_0219,LAML
TEST_0220,CESC
TEST_0221,STES
TEST_0222,OV
TEST_0223,GBMLGG
TEST_0224,LIHC
TEST_0225,UCEC
TEST_0226,SKCM
TEST_0227,COAD
TEST_0228,CESC
TEST_0229,KIPAN
TEST_0230,STES
TEST_0231,LUAD
TEST_0232,STES
TEST_0233,HNSC
TEST_0234,LUAD
TEST_0235,COAD
TEST_0236,UCEC
TEST_0237,BRCA
TEST_0238,THCA
TEST_0239,SKCM
TEST_0240,COAD
TEST_0241,KIRC
TEST_0242,STES
TEST_0243,OV
TEST_0244,KIPAN
TEST_0245,UCEC
TEST_0246,PRAD
TEST_0247,GBMLGG
TEST_0248,STES
TEST_0249,GBMLGG
TEST_0250,PCPG
TEST_0251,BRCA
TEST_0252,COAD
TEST_0253,LAML
TEST_0254,SKCM
TEST_0255,KIPAN
TEST_0256,COAD
TEST_0257,PAAD
TEST_0258,COAD
TEST_0259,COAD
TEST_0260,THCA
TEST_0261,LUAD
TEST_0262,LAML
TEST_0263,HNSC
TEST_0264,GBMLGG
TEST_0265,OV
TEST_0266,THCA
TEST_0267,KIPAN
TEST_0268,STES
TEST_0269,KIRC
TEST_0270,LUAD
TEST_0271,KIPAN
TEST_0272,GBMLGG
TEST_0273,BRCA
TEST_0274,KIRC
TEST_0275,UCEC
TEST_0276,COAD
TEST_0277,KIRC
TEST_0278,COAD
TEST_0279,COAD
TEST_0280,COAD
TEST_0281,SKCM
TEST_0282,BLCA
TEST_0283,STES
TEST_0284,BLCA
TEST_0285,DLBC
TEST_0286,UCEC
TEST_0287,KIPAN
TEST_0288,OV
TEST_0289,COAD
TEST_0290,COAD
TEST_0291,GBMLGG
TEST_0292,COAD
TEST_0293,ACC
TEST_0294,LAML
TEST_0295,STES
TEST_0296,KIPAN
TEST_0297,COAD
TEST_0298,COAD
TEST_0299,UCEC
TEST_0300,COAD
TEST_0301,THCA
TEST_0302,SKCM
TEST_0303,COAD
TEST_0304,COAD
TEST_0305,BLCA
TEST_0306,STES
TEST_0307,THCA
TEST_0308,STES
TEST_0309,BLCA
TEST_0310,GBMLGG
TEST_0311,KIRC
TEST_0312,UCEC
TEST_0313,STES
TEST_0314,COAD
TEST_0315,LIHC
TEST_0316,BRCA
TEST_0317,COAD
TEST_0318,BRCA
TEST_0319,UCEC
TEST_0320,LAML
TEST_0321,STES
TEST_0322,LGG
TEST_0323,COAD
TEST_0324,SKCM
TEST_0325,COAD
TEST_0326,PAAD
TEST_0327,OV
TEST_0328,KIPAN
TEST_0329,CESC
TEST_0330,COAD
TEST_0331,COAD
TEST_0332,COAD
TEST_0333,KIPAN
TEST_0334,GBMLGG
TEST_0335,LUSC
TEST_0336,SKCM
TEST_0337,COAD
TEST_0338,LUAD
TEST_0339,DLBC
TEST_0340,STES
TEST_0341,KIRC
TEST_0342,SKCM
TEST_0343,BRCA
TEST_0344,COAD
TEST_0345,SKCM
TEST_0346,COAD
TEST_0347,STES
TEST_0348,STES
TEST_0349,COAD
TEST_0350,COAD
TEST_0351,BRCA
TEST_0352,THCA
TEST_0353,LUAD
TEST_0354,COAD
TEST_0355,COAD
TEST_0356,BLCA
TEST_0357,KIPAN
TEST_0358,OV
TEST_0359,COAD
TEST_0360,OV
TEST_0361,LUAD
TEST_0362,STES
TEST_0363,COAD
TEST_0364,LUAD
TEST_0365,COAD
TEST_0366,KIRC
TEST_0367,TGCT
TEST_0368,STES
TEST_0369,COAD
TEST_0370,THCA
TEST_0371,SARC
TEST_0372,OV
TEST_0373,OV
TEST_0374,LAML
TEST_0375,BRCA
TEST_0376,SARC
TEST_0377,SARC
TEST_0378,OV
TEST_0379,THCA
TEST_0380,COAD
TEST_0381,COAD
TEST_0382,BRCA
TEST_0383,COAD
TEST_0384,LAML
TEST_0385,COAD
TEST_0386,UCEC
